file_path,province,speaker,duration
binh-đinh/0971972/125.wav,binh-đinh,binh-đinh_0971972,3.232
binh-đinh/0971972/072.wav,binh-đinh,binh-đinh_0971972,2.816
binh-đinh/0971972/195.wav,binh-đinh,binh-đinh_0971972,3.552
binh-đinh/0971972/089.wav,binh-đinh,binh-đinh_0971972,3.744
binh-đinh/0971972/002.wav,binh-đinh,binh-đinh_0971972,3.776
binh-đinh/0971972/181.wav,binh-đinh,binh-đinh_0971972,3.968
binh-đinh/0971972/044.wav,binh-đinh,binh-đinh_0971972,3.456
binh-đinh/0971972/083.wav,binh-đinh,binh-đinh_0971972,3.904
binh-đinh/0971972/043.wav,binh-đinh,binh-đinh_0971972,4.256
binh-đinh/0971972/077.wav,binh-đinh,binh-đinh_0971972,4.512
binh-đinh/0971972/065.wav,binh-đinh,binh-đinh_0971972,4.928
binh-đinh/0971972/001.wav,binh-đinh,binh-đinh_0971972,3.488
binh-đinh/0971972/139.wav,binh-đinh,binh-đinh_0971972,3.552
binh-đinh/0971972/017.wav,binh-đinh,binh-đinh_0971972,4.512
binh-đinh/0971972/005.wav,binh-đinh,binh-đinh_0971972,3.744
binh-đinh/0971972/192.wav,binh-đinh,binh-đinh_0971972,4.8
binh-đinh/0971972/180.wav,binh-đinh,binh-đinh_0971972,4.48
binh-đinh/0971972/020.wav,binh-đinh,binh-đinh_0971972,3.456
binh-đinh/0971972/115.wav,binh-đinh,binh-đinh_0971972,5.238625
binh-đinh/0971972/112.wav,binh-đinh,binh-đinh_0971972,3.574625
binh-đinh/0971972/197.wav,binh-đinh,binh-đinh_0971972,3.968
binh-đinh/0971972/137.wav,binh-đinh,binh-đinh_0971972,3.424
binh-đinh/0971972/053.wav,binh-đinh,binh-đinh_0971972,3.744
binh-đinh/0971972/162.wav,binh-đinh,binh-đinh_0971972,5.216
binh-đinh/0971972/156.wav,binh-đinh,binh-đinh_0971972,3.806625
binh-đinh/0971972/064.wav,binh-đinh,binh-đinh_0971972,4.768
binh-đinh/0971972/061.wav,binh-đinh,binh-đinh_0971972,3.008
binh-đinh/0971972/196.wav,binh-đinh,binh-đinh_0971972,3.84
binh-đinh/0971972/165.wav,binh-đinh,binh-đinh_0971972,3.350625
binh-đinh/0971972/110.wav,binh-đinh,binh-đinh_0971972,3.712
binh-đinh/0971972/082.wav,binh-đinh,binh-đinh_0971972,3.84
binh-đinh/0971972/038.wav,binh-đinh,binh-đinh_0971972,3.2
binh-đinh/0971972/050.wav,binh-đinh,binh-đinh_0971972,4.704
binh-đinh/0971972/193.wav,binh-đinh,binh-đinh_0971972,4.128
binh-đinh/0971972/071.wav,binh-đinh,binh-đinh_0971972,3.744
binh-đinh/0971972/160.wav,binh-đinh,binh-đinh_0971972,3.808
binh-đinh/0971972/154.wav,binh-đinh,binh-đinh_0971972,3.776
binh-đinh/0971972/164.wav,binh-đinh,binh-đinh_0971972,3.776
